Index,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005
1,Africa Eastern and Southern,AFE,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,945980.0057,985429.9913,1031909.987,1072749.997,1115909.987,1142860.015
2,Afghanistan,AFG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,13890.00034,12250.0,14890.00034,15529.99973,15310.00042,16229.99954
3,Africa Western and Central,AFW,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,569409.9903,572110.0108,561879.9947,594750.0043,600379.9961,623369.9982
4,Angola,AGO,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,57639.99939,57750.0,60209.99908,65720.00122,67430.00031,66959.99908
5,Albania,ALB,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,8140.000343,8109.999657,8750.0,9090.000153,9159.999847,8949.999809
6,Andorra,AND,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,589.9999738,589.9999738,600.0000238,610.0000143,639.9999857,660.0000262
7,Arab World,ARB,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1611569.998,1654740.022,1690330.0,1739150.004,1821170.007,1921029.997
8,United Arab Emirates,ARE,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,109019.9966,123080.0018,125400.0015,133419.9982,141210.0067,150100.0061
9,Argentina,ARG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,290820.0073,284140.0146,280480.011,302570.0073,318700.0122,322739.9902
10,Armenia,ARM,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,5989.999771,6099.999905,5769.999981,6199.999809,6590.000153,7320.000172
11,Africa Eastern and Southern,AFE,Population growth (annual %),SP.POP.GROW,2.583579242,2.5899606,2.606598026,2.617764284,2.64496843,2.666241587
12,Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,1.443803024,0.742516834,6.449321478,7.541018965,3.933177688,3.576508004
13,Africa Western and Central,AFW,Population growth (annual %),SP.POP.GROW,2.749599719,2.799653523,2.811452689,2.816480646,2.828642233,2.84121122
